Nom de la variable;Type;Libellé du codage;Libellé de la variable
entrnsp;Numérique;onsp;NSP qui fait entretien
entrprof;Numérique;onsp;Entretien par professionnel
four;Numérique;onref;Foyer équipé d un four classique (dans une cuisinière ou séparé)
fqtrait;Numérique;frqtrait;Fréquence des opérations d'entretien du système de traitement d'eau
frigo;Numérique;onref;Foyer équipé d un réfrigérateur
insconserv;Numérique;instruc;Suit les instructions de conservation figurant sur emballage ?
inscuisson;Numérique;instruc;Suit les instructions de prépararation et cuisson figurant sur l'emballage ?
jard_pelouse;Numérique;onsp;Fleurs/pelouse dans le jardin
jard_potager;Numérique;onsp;Potager dans le jardin
jard_poules;Numérique;onsp;Poulailler dans le jardin
jard_rien;Numérique;onsp;Rien dans le jardin
jard_verger;Numérique;onsp;Verger dans le jardin
jardin;Numérique;onref;Possède un jardin
loc_log;Numérique;habitat;Localisation du logement
manq_alim;Numérique;inquiet;Inquiet à l'idée de manquer d'aliments
micro_onde;Numérique;onref;Foyer équipé d un four à micro-ondes
micronde;Numérique;micronde;Réchauffe aliments au micro-onde dans emballage d'origine ?
nb_tv;Numérique;nbtele;Nombre de télévisions
nb_voit;Numérique;nbvoit;Nombre de voitures
nbadu;Numérique;;Nombre d'adultes dans le foyer
nbenf;Numérique;;Nombre d'enfants dans le foyer
nbpers;Numérique;;Nbr de personnes vivant dans le foyer (4 jours ou +/semaine)
nomen;Texte;;Numéro d'individu
nrchoix;Numérique;onsp;Pas de réponse - Choix des produits alimentaires
nrepjamb;Numérique;nbrepas;Consomme généralement le jambon sous plastique
nreppate;Numérique;nbrepas;Consomme généralement le pâté sous plastique
nreprill;Numérique;nbrepas;Consomme généralement les pots de rillettes
nrepsauc;Numérique;nbrepas;Consomme généralement les saucisses en sachet
nrepsaum;Numérique;nbrepas;Consomme généralement le saumon fumé sous plastique
nrsyst;Numérique;onsp;Pas de réponse sur type de traitement eau
nrtrait;Numérique;;Pas de Réponse système trait eau
pcschef;Numérique;pcschef;PCS chef de famille (8 modalités)
pond_men;Numérique;;Pondération MENAGES finale
puits;Numérique;eaupuits;Utilise une alimentation en eau par puits privé ?
reg;Numérique;regf;Région INCA2 (8 modalités)
reste;Numérique;tsrj;Dans réfrigérateur, protège les aliments entamés et les restes ?
revenu;Numérique;revenu;Revenus du foyer
saliere;Numérique;saliere;A la maison, la salière est-ellesur la table au cours des repas ?
selcrud;Numérique;selcrud;Ajout de sel avant de servir les crudités
selcuileg;Numérique;salage;Ajout de sel lors de la cuisson des légumes verts-PDT-légumes secs
selcuioeuf;Numérique;salage;Ajout de sel lors de la cuisson des oeufs
selcuivp;Numérique;salage;Ajout de sel lors de la cuisson des poissons-viandes
selcuivps;Numérique;salage;Ajout de sel lors de la cuisson des poissons ou viandes en sauce
sexe_chef;Numérique;sexe;Sexe du chef de ménage
sitalim_argent;Numérique;onsp;Ne mange pas de tout pour question d'argent
sitalim_autre;Numérique;onsp;Ne mange pas de tout pour d'autres raisons
sitalim_depl;Numérique;onsp;Ne mange pas de tout pour question de déplacement
sitalim_place;Numérique;onsp;Ne mange pas de tout pour question de place ou équipement
sitalim_regime;Numérique;onsp;Ne mange pas de tout pour question de régime
sitalim_rhf;Numérique;onsp;Ne mange pas de tout pour question de choix en RHF
sitalim_temps;Numérique;onsp;Ne mange pas de tout pour question de temps
situ_alim;Numérique;situali;Situation correspondant le mieux à la situation actuelle du foyer
situ_fin;Numérique;situfin;Actuellement, dans votre foyer, diriez-vous plutôt que financièrement...
soins;Numérique;onsp;Renonce à certains soins de santé pour des raisons financières
stat_log;Numérique;logement;Statut d'occupation du logement
stokcons;Numérique;stokcons;Lieu de stockage des produits longue conservation
systaut;Numérique;onsp;Traitement eau : Autre procédé
systcharb;Numérique;onsp;Traitement eau : Filtration sur charbon actif
systion;Numérique;onsp;Traitement eau : résine échangeuse d'ions
systmeca;Numérique;onsp;Traitement eau : Filtration mécanique
systmemb;Numérique;onsp;Traitement eau : Procédés membranaires
systnsp;Numérique;onsp;NSP quel type de traitement eau
systuv;Numérique;onsp;Traitement eau : Traitement ultra-violet
tage_chef;Numérique;;Age du chef de ménage (7 tranches)
temp;Numérique;temp;Quelle température moyenne dans un réfrigérateur ?
tempfrig;Numérique;;Précisez la température indiquée (en °C)
thermo;Numérique;thermo;Quelle est, aujourd hui, la température de votre réfrigérateur ?
traitcirc;Numérique;onsp;Système trait. eau sur tout le circuit d'eau
traiteau;Numérique;traiteau;Dispose d'un ou plusieurs systèmes de traitements d'eau ?
traiteauch;Numérique;onsp;Système trait. eau sur circuit d'eau chaude
traitnsp;Numérique;onsp;NSP place système trait. eau
traitusag;Numérique;onsp;Système trait. eau au point d usage
typesel;Numérique;typesel;A la maison, utilise principalement du ...
up;Numérique;;Numéro d'UP (unité primaire)
viande;Numérique;prodanx;Peut manger viande, volaille ou poisson tous les 2 jours
automnecompl;Numérique;saison de prédilection pour la la prise de compléments : automne;
but1;Numérique;butadcanew;1er but d'achat de compléments
but10;Numérique;butadcanew;10ème but d'achat de compléments
but11;Numérique;butadcanew;11ème but d'achat de complément
but2;Numérique;butadcanew;2ème but d'achat de compléments
but3;Numérique;butadcanew;3ème but d'achat de compléments
but4;Numérique;butadcanew;4ème but d'achat de compléments
but5;Numérique;butadcanew;5ème but d'achat de compléments
but6;Numérique;butadcanew;6ème but d'achat de compléments
but7;Numérique;butadcanew;7ème but d'achat de compléments
but8;Numérique;butadcanew;8ème but d'achat de compléments
but9;Numérique;butadcanew;9ème but d'achat de compléments
compl_12m_AET;Numérique;;Apport en Energie totale (en kcal/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut10;Numérique;;Apport en Acides gras saturés (en g/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut11;Numérique;;Apport en Amidon (en g/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut12;Numérique;;Apport en Glucides simples (en g/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut13;Numérique;;Apport en Fibres (en g/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut14;Numérique;;Apport en Cholestérol (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut15;Numérique;;Apport en Eau (en g/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut16;Numérique;;Apport en Calcium (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut17;Numérique;;Apport en Fer (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut18;Numérique;;Apport en Sodium (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut19;Numérique;;Apport en Magnésium (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut20;Numérique;;Apport en Manganèse (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut21;Numérique;;Apport en Phosphore (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut22;Numérique;;Apport en Potassium (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut23;Numérique;;Apport en Cuivre (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut24;Numérique;;Apport en Zinc (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut25;Numérique;;Apport en Sélénium (en μg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut26;Numérique;;Apport en Iode (en μg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut27;Numérique;;Apport en Rétinol (en μg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut28;Numérique;;Apport en Béta-carotène (en μg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut30;Numérique;;Apport en Vitamine C (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut31;Numérique;;Apport en Vitamine D (en μg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut32;Numérique;;Apport en Vitamine E (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut33;Numérique;;Apport en Vitamine B1 ou thiamine (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut34;Numérique;;Apport en Vitamine B2 ou riboflavine (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut35;Numérique;;Apport en Vitamine B3 ou niacine (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut36;Numérique;;Apport en Vitamine B5 ou acide pantothénique (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut37;Numérique;;Apport en Vitamine B6 (en mg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut38;Numérique;;Apport en Vitamine B9 ou folates (en μg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut39;Numérique;;Apport en Vitamine B12 (en μg/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut4;Numérique;;Apport en Protéines (en g/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut5;Numérique;;Apport en Glucides disponibles (en g/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut6;Numérique;;Apport en Lipides (en g/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut7;Numérique;;Apport en Alcool (en g/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut8;Numérique;;Apport en Acides gras mono-insaturés (en g/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_12m_nut9;Numérique;;Apport en Acides gras poly-insaturés (en g/j) liés aux compléments alimentaires sur les 12 derniers mois
compl_7j_AET;Numérique;;Apport en Energie totale (en kcal/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut10;Numérique;;Apport en Acides gras saturés (en g/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut11;Numérique;;Apport en Amidon (en g/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut12;Numérique;;Apport en Glucides simples (en g/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut13;Numérique;;Apport en Fibres (en g/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut14;Numérique;;Apport en Cholestérol (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut15;Numérique;;Apport en Eau (en g/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut16;Numérique;;Apport en Calcium (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut17;Numérique;;Apport en Fer (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut18;Numérique;;Apport en Sodium (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut19;Numérique;;Apport en Magnésium (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut20;Numérique;;Apport en Manganèse (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut21;Numérique;;Apport en Phosphore (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut22;Numérique;;Apport en Potassium (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut23;Numérique;;Apport en Cuivre (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut24;Numérique;;Apport en Zinc (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut25;Numérique;;Apport en Sélénium (en μg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut26;Numérique;;Apport en Iode (en μg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut27;Numérique;;Apport en Rétinol (en μg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut28;Numérique;;Apport en Béta-carotène (en μg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut30;Numérique;;Apport en Vitamine C (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut31;Numérique;;Apport en Vitamine D (en μg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut32;Numérique;;Apport en Vitamine E (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut33;Numérique;;Apport en Vitamine B1 ou thiamine (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut34;Numérique;;Apport en Vitamine B2 ou riboflavine (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut35;Numérique;;Apport en Vitamine B3 ou niacine (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut36;Numérique;;Apport en Vitamine B5 ou acide pantothénique (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut37;Numérique;;Apport en Vitamine B6 (en mg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut38;Numérique;;Apport en Vitamine B9 ou folates (en μg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut39;Numérique;;Apport en Vitamine B12 (en μg/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut4;Numérique;;Apport en Protéines (en g/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut5;Numérique;;Apport en Glucides disponibles (en g/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut6;Numérique;;Apport en Lipides (en g/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut7;Numérique;;Apport en Alcool (en g/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut8;Numérique;;Apport en Acides gras mono-insaturés (en g/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl_7j_nut9;Numérique;;Apport en Acides gras poly-insaturés (en g/j) liés aux compléments alimentaires sur les 7 jours du carnet
compl12m;Numérique;onsp;Au cours des 12 der. mois, a consommé des CA
ech;Numérique;echant;Echantillon (adultes/enfants)
etecompl;Numérique;;saison de prédilection pour la prise de compléments : été
hivercompl;Numérique;;saison de prédilection pour la la prise de compléments : hiver
motiv1;Numérique;motivcanew;1ère motivation d'achat de comp
motiv10;Numérique;motivcanew;10ème motivation d'achat de compléments
motiv2;Numérique;motivcanew;2ème motivation d'achat de compléments
motiv3;Numérique;motivcanew;3ème motivation d'achat de compléments
motiv4;Numérique;motivcanew;4ème motivation d'achat de compléments
motiv5;Numérique;motivcanew;5ème motivation d'achat de compléments
motiv6;Numérique;motivcanew;6ème motivation d'achat de compléments
motiv7;Numérique;motivcanew;7ème motivation d'achat de compléments
motiv8;Numérique;motivcanew;8ème motivation d'achat de compléments
motiv9;Numérique;motivcanew;9ème motivation d'achat de compléments
nbancompl;Numérique;;Depuis combien d ANNEES consomme des cplts alim.
nbcompl12m;Numérique;;Au cours des 12 derniers mois, nb de CA différents consommés
nomen;Numérique;;Numéro d'individu
pond_adu_ech;Numérique;;POND finale Adulte ramenée à l'échantillon
pond_enf_ech;Numérique;;POND finale Enfant ramenée à l'échantillon
printempscompl;Numérique;;saison de prédilection pour la prise de compléments : printemps
saisonparticuliere;Numérique;;saisonparticuliere
sexe_ps;Numérique;sexe;Sexe de la personne sélectionnée
siautrbut1;Texte;;si autre but d'achat de compléments en 1er
siautrbut10;Texte;;si autre but d'achat de compléments en 10ème
siautrbut11;Texte;;si autre but d'achat de compléments en 11ème
siautrbut2;Texte;;si autre but d'achat de compléments en 2ème
siautrbut3;Texte;;si autre but d'achat de compléments en 3ème
siautrbut4;Texte;;si autre but d'achat de compléments en 4ème
siautrbut5;Texte;;si autre but d'achat de compléments en 5ème
siautrbut6;Texte;;si autre but d'achat de compléments en 6ème
siautrbut7;Texte;;si autre but d'achat de compléments en 7ème
siautrbut8;Texte;;si autre but d'achat de compléments en 8ème
siautrbut9;Texte;;si autre but d'achat de compléments en 9ème
siautrmotiv1;Texte;;si autre motivation d'achat de compléments en 1er
siautrmotiv10;Texte;;si autre motivation d'achat de compléments en 10ème
siautrmotiv2;Texte;;si autre motivation d'achat de compléments en 2ème
siautrmotiv3;Texte;;si autre motivation d'achat de compléments en 3ème
siautrmotiv4;Texte;;si autre motivation d'achat de compléments en 4ème
siautrmotiv5;Texte;;si autre motivation d'achat de compléments en 5ème
siautrmotiv6;Texte;;si autre motivation d'achat de compléments en 6ème
siautrmotiv7;Texte;;si autre motivation d'achat de compléments en 7ème
siautrmotiv8;Texte;;si autre motivation d'achat de compléments en 8ème
siautrmotiv9;Texte;;si autre motivation d'achat de compléments en 9ème
sicaract1;Texte;;si caractéristique du produit en 1er
sicaract10;Texte;;si caractéristique du produit en 10ème
sicaract2;Texte;;si caractéristique du produit en 2ème
sicaract3;Texte;;si caractéristique du produit en 3ème
sicaract4;Texte;;si caractéristique du produit en 4ème
sicaract5;Texte;;si caractéristique du produit en 5ème
sicaract6;Texte;;si caractéristique du produit en 6ème
sicaract7;Texte;;si caractéristique du produit en 7ème
sicaract8;Texte;;si caractéristique du produit en 8ème
sicaract9;Texte;;si caractéristique du produit en 9ème
sipbsante1;Texte;;si problème de santé en 1er
sipbsante10;Texte;;si problème de santé en 10ème
sipbsante11;Texte;;si problème de santé en 11ème
sipbsante2;Texte;;si problème de santé en 2ème
sipbsante3;Texte;;si problème de santé en 3ème
sipbsante4;Texte;;si problème de santé en 4ème
sipbsante5;Texte;;si problème de santé en 5ème
sipbsante6;Texte;;si problème de santé en 6ème
sipbsante7;Texte;;si problème de santé en 7ème
sipbsante8;Texte;;si problème de santé en 8ème
sipbsante9;Texte;;si problème de santé en 9ème
tage;Numérique;age;Classe d'âge de la personne sélectionnée
v2_age;Numérique;;Age de la personne sélectionnée
